"id","teks","label"
"374","Kayak Randy Pangalila klo gk pake kacamata","no"
"375","Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu","no"
"376","Apa ganteng nyasih anjing.. Kucel gini jadiin model","yes"
"377","keknya dia ngeliat masa depan yang hancur deh","yes"
"378","INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA","yes"
"379","Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.","yes"
"380","dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh","yes"
"381","Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet","yes"
"382","Saya segenap hati minta maap","no"
"383","Dulu Bahagia Sekarang Banyak Utang","yes"
"384","Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG","no"
"385","editan sama konsepnya nice banget lahhh","no"
"386","iri kok sama babi hahah najis","yes"
"387","LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI","yes"
"388","Jelek aja tukang selingkuh lo buriq !","yes"
"389","kok kalian komennya pada kek gini ya","no"
"390","Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga","yes"
"391","Kalian kaloga cocok mau di paksain?","no"
"392","ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir","no"
"393","Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe","yes"
"394","ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT","yes"
"395","Cocok banget sama2 orang gak bener biar lah dia hancur bersama","yes"
"396","EH KEK ADA PENAMPAKAN LONTE","yes"
"397","Meninggalkan berlian demi Tai Sapi","yes"
"398","Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri","yes"
"399","Pantes disini mulainya si ajg berulah","yes"
"400","Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!","yes"
"401","Buah nangka buah kemanggi gak ada akhlak lu babi","yes"
"402","Perlahan karirmu ancur bro dan lu akan kembali kebawan","yes"
"403","Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha","yes"
"404","ngapain juga nginap di rumah cowo, gaada keluarga lg lo?","yes"
"405","Eh ada pelakor, pas banget frame ke tiga, orang ke 3","yes"
"406","Anak gblk dikasi berlian malah milih kerikil","yes"
"407","Dikasih bidadari malah milih dajjal awokawok:v","yes"
"408","Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami","no"
"409","Kesihan gue sama org otak dangkal kek gini","yes"
"410","Murahh banget lo jijik gue …. Dikick EVOS mlah open BO","yes"
"411","senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing","yes"
"412","Indahnya pemandangan banyak LonT lonT mau di jual","yes"
"413","bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri","yes"
"414","siapapun tolong kasih tau aku ini masalah nya apaa gais","no"
"415","dikasih hati yg malaikat milih yg berhati iblis greget:(","yes"
"416","Di kasih bidadari malah pilih kotoran","yes"
"417","Dikasih bidadari malah minta lonte","yes"
"418","Gajadi beli Model murahan barang pasti murahan","yes"
"419","Modelny aja murahan apalagi barangnya","yes"
"420","muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu","yes"
"421","Males beli gua,gara gara ada lonte","yes"
"422","Padahal bulug gini ya mukanya.. ehh,, maaf..","yes"
"423","Padahal cantikan jessica kemana mana","no"
"424","Dikasih bidadari malah milih sampah","yes"
"425","yaelah muka pasan aja bangga lu njing","yes"
"426","Wah ibarat lebih milih iblis daripada bidadari haha","yes"
"427","@rangga_kanahaya knp gk truck sampah, kek mukanya sampah","yes"
"428","Gajadi beli, takut ketularan lonte nya","yes"
"429","hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam","no"
"430","Jangan beli baju lonte entar kena sial","yes"
"431","Dasar cewe lo itu LONTE tau kau!","yes"
"432","Disini pada kenapa dah? Aku gapaham tolong","no"
"433","Itu ditengah manusia apa monyet kok kulitnya bercorak batik","yes"
"434","Muka lu sama anjing gwe..lebih ganteng anjing gwe rik","yes"
"435","Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte","yes"
"436","Etdah ninggalin yang baik demi lonte, situ waras mas wkwk","yes"
"437","Gw melihat cewek murahan di postingan ini","yes"
"438","yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?","yes"
"439","Ih ko muka jelek banget siii serem kek setan","yes"
"440","Itu yang foto ketiga jablay murahan bukan?","yes"
"441","Jelek aja tukang selingkuh lo buriq !!!!","yes"
"442","Emang kalian se suci apa sampai nghina dia segitu nya","no"
"443","Mending yang follow pada unfollow Udeh gausah ribet","no"
"444","Dekil tatoan, mampus karir Lo hancurr pantek","yes"
"445","Udah ada berlian malah milih batu nisan","yes"
"446","Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2","yes"
"447","Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek","yes"
"448","Setan ma setan mahh emg cocokk udee","yes"
"449","Lonte kurus pucet kek mayat hidup","yes"
"450","Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun","yes"
"451","@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong","no"
"452","bego anak orang udah ga perawan noh gara lu wkwkw","yes"
"453","Frustasi..Sudah habis uangnya..Kasihannn","yes"
"454","Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras","no"
"455","Semangat Rick untuk usaha barunya","no"
"456","Hadehh muka kaya tong sampah .","yes"
"457","banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya","no"
"458","Ni org jelek ga ada obat.kok jj mau liat apa ya..","yes"
"459","Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka","no"
"460","Tuhan yesus baik semangat rick","no"
"461","Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)","no"
"462","Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha","yes"
"463","jelek dapet selingkuhan jelek juga keren yaa imbang wkkw","yes"
"464","Wah ngehina fisik ni orang,ga bener ya wkwkwkwk","no"
"465","BUNUH DIRI LAH SONO GOBLOX","yes"
"466","Sabar semua komentar ini ujian","no"
"467","Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!","no"
"468","Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank","no"
"469","Erick masuk neraka jalur selingkuh bos","yes"
"470","Trs berkarya walaupun brd di titik sprti ini","no"
"471","Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada","no"
"472","Yang ngatain keknya idupnya gapernag bikin kesalahan","no"
"473","Jadi gila kau rupanya karna gak laku lagi di YouTube","yes"
"474","Kasian yah sdh stress banyak masalah","yes"
"475","Kok jatohnya malah kek ajg sih rikkk","yes"
"476","Karir turun jadi autis kasian hahah","yes"
"477","erick yang kek gini yang gua kangenin, keep it up bruuh","no"
"478","Udah mau autis iya bg awokawkk","yes"
"479","Kasian masih muda udah stresss","yes"
"480","Banyak komen yg support malah ketutup yg hate bgst emang IG","no"
"481","Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm","no"
"482","Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.","no"
"483","Aura org pinter emg shining ya bun @hy_dindut","no"
"484","Paket lengkap deh.. udh cantik pintar lagi","no"
"485","Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett","no"
"486","Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy","no"
"487","Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh","yes"
"488","Anjirlah muka lo kek kuntilanak malah sok cantik","yes"
"489","Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama jadi jijik kenapa gak sekalian bisu aja","yes"
"490","Uda pinter, cantik gak kebanyakan tingkah. Perfect","no"
"491","Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada","no"
"492","Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda","no"
"493","Motivasi ku ka Maudy cantipp bngt","no"
"494","Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin","no"
"495","Damage nya cewek pinter gada lawann","no"
"496","cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang","yes"
"497","cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?","yes"
"498","masih good vibes walaupun sedang lapar","no"
"499","kakak cantik bgt bismillah cerdasnya nular","no"
"500","Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu","yes"
"501","Dua2 nya cantik banget masya Allah","no"
"502","ka nisa mirip ariana grande masa","no"
"503","Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha","no"
"504","Sekilas yg abu mirip ariana grande haha","no"
"505","Yang satu nya mirip Ariana grande","no"
"506","Kakak sama adek sama sama cantik ya aku suka sama dua duanya","no"
"507","Rambutnya kak modd bagussss… Item berkilauu","no"
"508","Cantik semua congrats kak msuk nominsi tc candler","no"
"509","Maudy enak bet dah cantik iya pinter iya","no"
"510","kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :","no"
"511","Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa","no"
"512","Sutan kamu sangat lucu dan menggemaskan","no"
"513","Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom","no"
"514","Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya","no"
"515","Muka lu kok cabul banget sih bg hahah","yes"
"516","Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak","yes"
"517","Kak jerome kayak boneka tau hahah","no"
"518","Mukbang makanan sehat dong kak. Salad jepang gituuu.","no"
"519","Yakinin dulu niatnya bg… Semoga sukses","no"
"520","Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang","no"
"521","Cuman rumus diet ini yg ga bisa dipecahka ya bang?","no"
"522","Perut makin maju tpi semangat jangan tak maju","no"
"523","Pantesan kak Jessica bilang bang jerom beruang wkwkwk","no"
"524","Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika","no"
"525","Kaya tulus ya mukanya klo diliat2","no"
"526","Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)","no"
"527","Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha","no"
"528","Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap","no"
"529","Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk","no"
"530","iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul","no"
"531","Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur","no"
"532","Kok makin dewasa makin imutt aih cipaaaaaa","no"
"533","maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa","no"
"534","Nih orang manis bnget sihh ga ngerti lagi","no"
"535","Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak","no"
"536","Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr","no"
"537","Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.","no"
"538","Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu","no"
"539","Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab","no"
"540","Gemeshh rasanya kaya aku pengen cubit","no"
"541","@angelkmgi ini paling cute sih, ganteng parah msh kecil jg","no"
"542","Pengen gw pacul mulut lo!! woii anjeng busuk","yes"
"543","Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu","no"
"544","Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula","no"
"545","Dilihat sekilas pun tampak jelas kalau cantikkan syifa","no"
"546","Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn","no"
"547","dahlahh emang cantik luar dalam kmu ini cippp","no"
"548","Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.","no"
"549","Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga","no"
"550","Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati","no"
"551","Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..","no"
"552","Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa","no"
"553","kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha","no"
"554","Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..","no"
"555","Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory","no"
"556","smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..","no"
"557","Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya","no"
"558","Kasihan ya , Nagita punya suami kerjaannya berzinah terus","yes"
"559","Koreaable banget face rafathar cakep ganteng manis banget","no"
"560","MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…","no"
"561","Kok mirip siwon ya lama2, apa perasaan gw aja.","no"
"562","Lucunya berasa kayak kaka dan adek","no"
"563","Itu wajah nagita kya masih umur 20an","no"
"564","Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu","no"
"565","Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.","no"
"566","Nagita masa kaya anak muda coba cantikk bangeett","no"
"567","Masyaallah mamany cantik anakny ganteng, perfect","no"
"568","Kaya adek kakak.. kak gigi keliatan muda banget","no"
"569","Tambah gede aja rafathar ya tambah pinter ya Rafathar","no"
"570","Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda","no"
"571","OOTD mama gigi simple tapi elegan dilihat nya, masyaallah","no"
"572","Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga","no"
"573","mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.","no"
"574","Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep","no"
"575","i see beauty in everything mba gigi sehat selalu sama dede bayi nya","no"
"576","Mama gigi cantik banget… look younger than her age.. love mama gigi","no"
"577","Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas","no"
"578","Pakaian apapun yg dipake mama gigi selalu keceee","no"
"579","Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga","no"
"580","Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..","no"
"581","Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..","no"
"582","Mama gigi gapernah ga cantik sih kalo menurut aku.","no"
"583","Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.","no"
"584","Cantik banget semoga sehat selalu kakak panutan","no"
"585","MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa","no"
"586","Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya","no"
"587","makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya","no"
"588","Gapaham lagi cakeup nya natural Masyaallah","no"
"589","Raisa mah tipe cantik tapi sopan santun pakaiannya","no"
"590","ka yayaaa, why are you always stunning pretty girl.","no"
"591","Ya Allah ni orang apa peri, cantik amatt","no"
"592","Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik","no"
"593","BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH","no"
"594","Cantik bajunya keren warnanya bikin pangling","no"
"595","Sudah dongggg dan sudah di liked juga.. congratulations","no"
"596","Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk","no"
"597","Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….","no"
"598","udah dong. Lagi ngunyah aja cute banget","no"
"599","Penyihir secantik ini gue rela dikutuk jadi tokek laut","no"
"600","Ya ampun kak makan apa sih kok bisa cantik banget","no"
"601","Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha","no"
"602","Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu","no"
"603","lu lebih gak sopan, mukak lu kayak babi!","yes"
"604","ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in","no"
"605","Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran","no"
"606","Bukan keliatan ragu, tapi keliatan cantik","no"
"607","Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald","no"
"608","Raisa pake baju merah sumpahh cantik bgttt","no"
"609","Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget","no"
"610","Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya","no"
"611","Ka yaya kalo ragu tetep secantik itu yah :)","no"
"612","Ragu aja cantik kan kak, apalagi kalau serius","no"
"613","Ngga alay. Ngga muluk muluk. Natural. Sukaaaa","no"
"614","seru bgt gemoy, tim berkebun plus tim alam bgt niiii","no"
"615","nikmatnya bisa menghirup oksigen dengan bebas ya :)","no"
"616","Slide kedua mukanya mau gaya apa aja tetep cantikk","no"
"617","mba isyana foto gelap2an gini aja aesthetic bgt ya","no"
"618","mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa","no"
"619","Ga Taulah aku juga suka banget sama gayanya isyan","no"
"620","Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu","no"
"621","Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…","no"
"622","Congrats kak, kamu memang pantes mendapatkannya","no"
"623","Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana","no"
"624","Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif","no"
"625","Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan","no"
"626","Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren","no"
"627","yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt","no"
"628","Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku","no"
"629","makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa","no"
"630","Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!","no"
"631","hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka","no"
"632","senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…","no"
"633","Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna","no"
"634","congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin","no"
"635","Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan","no"
"636","CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss","no"
"637","ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA","yes"
"638","Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat","yes"
"639","Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya","no"
"640","definisi minat ketemu bakat ketemu kerja keras","no"
"641","@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini","no"
"642","MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah","no"
"643","Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis","no"
"644","Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett","no"
"645","Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata","no"
"646","aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan","no"
"647","AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget","no"
"648","paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri","no"
"649","Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini","no"
"650","Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah","no"
"651","<USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!","yes"
"652","Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.","yes"
"653","Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas","yes"
"654","Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??","yes"
"655","hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja","yes"
"656","Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya","yes"
"657","kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa","yes"
"658","krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika","yes"
"659","ayu janda bego pny suami kpn nikah laginya?","yes"
"660","Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan","yes"
"661","Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids","yes"
"662","Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck","yes"
"663","<USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????","yes"
"664","Jijik liatnya suer deh minceeee","yes"
"665","Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!","yes"
"666","Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??","yes"
"667","Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..","yes"
"668","<USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun","yes"
"669","<USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??","yes"
"670","Cuman jual goyangan yak, suara macam taik...","yes"
"671","Kasian ih nyari uang sampe segitunya","yes"
"672","anjir tontonan yg sangat tidak bermutu!","yes"
"673","Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????","yes"
"674","Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada","yes"
"675","Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi","yes"
"676","Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya","yes"
"677","S lonte ini bkn sensasi ngjak ribut org mulu sampah","yes"
"678","Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..","yes"
"679","Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu","yes"
"680","Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??","yes"
"681","Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??","yes"
"682","bencong rombeng.menjijikan!!!gay jg.","yes"
